,index,Company,Adj Close
53,2020-09-28,AAPL,114.761784768
54,2020-09-25,AAPL,112.086405652
55,2020-09-24,AAPL,108.033405946
56,2020-09-23,AAPL,106.935302578
57,2020-09-22,AAPL,111.617216031
58,2020-09-21,AAPL,109.890198915
59,2020-09-18,AAPL,106.655785357
60,2020-09-17,AAPL,110.14975062
61,2020-09-16,AAPL,111.936664284
62,2020-09-15,AAPL,115.340784726
63,2020-09-14,AAPL,115.156103705
64,2020-09-11,AAPL,111.806888431
65,2020-09-10,AAPL,113.294319357
66,2020-09-09,AAPL,117.117715631
67,2020-09-08,AAPL,112.625474578
68,2020-09-04,AAPL,120.751439505
69,2020-09-03,AAPL,120.671577442
70,2020-09-02,AAPL,131.173438748
71,2020-09-01,AAPL,133.948645443
72,2020-08-31,AAPL,128.817507885
73,2020-08-28,AAPL,124.592305606
74,2020-08-27,AAPL,124.794456453
75,2020-08-26,AAPL,126.304348585
76,2020-08-25,AAPL,124.609775432
77,2020-08-24,AAPL,125.640495185
78,2020-08-21,AAPL,124.155559948
79,2020-08-20,AAPL,118.07106901
80,2020-08-19,AAPL,115.507995921
81,2020-08-18,AAPL,115.363245931
82,2020-08-17,AAPL,114.409892552
83,2020-08-14,AAPL,114.709375289
84,2020-08-13,AAPL,114.811698558
85,2020-08-12,AAPL,112.815146978
86,2020-08-11,AAPL,109.186414483
87,2020-08-10,AAPL,112.533134068
88,2020-08-07,AAPL,110.920918668
89,2020-08-06,AAPL,113.496709309
90,2020-08-05,AAPL,109.670389749
91,2020-08-04,AAPL,109.274305888
92,2020-08-03,AAPL,108.54939769
93,2020-07-31,AAPL,105.88143659
94,2020-07-30,AAPL,95.8473121176
95,2020-07-29,AAPL,94.7014091242
96,2020-07-28,AAPL,92.9202772975
97,2020-07-27,AAPL,94.4722285255
98,2020-07-24,AAPL,92.2850484642
99,2020-07-23,AAPL,92.5142290629
100,2020-12-11,MSFT,213.26
101,2020-12-10,MSFT,210.52
102,2020-12-09,MSFT,211.8
103,2020-12-08,MSFT,216.01
104,2020-12-07,MSFT,214.29
105,2020-12-04,MSFT,214.36
106,2020-12-03,MSFT,214.24
107,2020-12-02,MSFT,215.37
108,2020-12-01,MSFT,216.21
109,2020-11-30,MSFT,214.07
110,2020-11-27,MSFT,215.23
111,2020-11-25,MSFT,213.87
112,2020-11-24,MSFT,213.86
113,2020-11-23,MSFT,210.11
114,2020-11-20,MSFT,210.39
115,2020-11-19,MSFT,212.42
116,2020-11-18,MSFT,211.08
117,2020-11-17,MSFT,213.892538273
118,2020-11-16,MSFT,216.655208845
119,2020-11-13,MSFT,215.937113967
120,2020-11-12,MSFT,214.86994519
121,2020-11-11,MSFT,215.977008127
122,2020-11-10,MSFT,210.451666982
123,2020-11-09,MSFT,217.812139482
124,2020-11-06,MSFT,223.128036288
125,2020-11-05,MSFT,222.699174069
126,2020-11-04,MSFT,215.817431487
127,2020-11-03,MSFT,205.883785674
128,2020-11-02,MSFT,201.794634285
129,2020-10-30,MSFT,201.934263844
130,2020-10-29,MSFT,204.178310338
131,2020-10-28,MSFT,202.143708184
132,2020-10-27,MSFT,212.685739936
133,2020-10-26,MSFT,209.524127764
134,2020-10-23,MSFT,215.657854848
135,2020-10-22,MSFT,214.321400491
136,2020-10-21,MSFT,214.231638632
137,2020-10-20,MSFT,214.082035532
138,2020-10-19,MSFT,213.653173313
139,2020-10-16,MSFT,219.078779059
140,2020-10-15,MSFT,219.078779059
141,2020-10-14,MSFT,220.275603856
142,2020-10-13,MSFT,222.27031185
143,2020-10-12,MSFT,220.814175014
144,2020-10-09,MSFT,215.238966169
145,2020-10-08,MSFT,210.022804763
146,2020-10-07,MSFT,209.274789265
147,2020-10-06,MSFT,205.365161595
148,2020-10-05,MSFT,209.823333963
149,2020-10-02,MSFT,205.644420714
150,2020-10-01,MSFT,211.897830278
151,2020-09-30,MSFT,209.773466263
152,2020-09-29,MSFT,206.711589492
153,2020-09-28,MSFT,208.885821206
154,2020-09-25,MSFT,207.27010773
155,2020-09-24,MSFT,202.652358722
156,2020-09-23,MSFT,200.059238329
157,2020-09-22,MSFT,206.871166131
158,2020-09-21,MSFT,202.004078624
159,2020-09-18,MSFT,199.85976753
160,2020-09-17,MSFT,202.373099603
161,2020-09-16,MSFT,204.507437157
162,2020-09-15,MSFT,208.227567568
163,2020-09-14,MSFT,204.866484596
164,2020-09-11,MSFT,203.49013608
165,2020-09-10,MSFT,204.826590437
166,2020-09-09,MSFT,210.730926101
167,2020-09-08,MSFT,202.123761104
168,2020-09-04,MSFT,213.683093933
169,2020-09-03,MSFT,216.725023625
170,2020-09-02,MSFT,231.037053487
171,2020-09-01,MSFT,226.668642979
172,2020-08-31,MSFT,224.933247023
173,2020-08-28,MSFT,228.304303534
