,0,5
200,2020-09-25,112.086624
201,2020-09-28,114.762009
202,2020-09-29,113.893501
203,2020-09-30,115.610542
204,2020-10-01,116.588860
205,2020-10-02,112.825348
206,2020-10-05,116.299355
207,2020-10-06,112.965111
208,2020-10-07,114.881805
209,2020-10-08,114.771988
210,2020-10-09,116.768547
211,2020-10-12,124.185753
212,2020-10-13,120.891434
213,2020-10-14,120.981277
214,2020-10-15,120.502106
215,2020-10-16,118.815010
216,2020-10-19,115.780251
217,2020-10-20,117.307617
218,2020-10-21,116.668724
219,2020-10-22,115.550644
220,2020-10-23,114.841873
221,2020-10-26,114.851852
222,2020-10-27,116.399178
223,2020-10-28,111.008476
224,2020-10-29,115.121384
225,2020-10-30,108.672516
226,2020-11-02,108.582664
227,2020-11-03,110.249794
228,2020-11-04,114.752022
229,2020-11-05,118.824997
230,2020-11-06,118.690002
231,2020-11-09,116.320000
232,2020-11-10,115.970001
233,2020-11-11,119.489998
234,2020-11-12,119.209999
235,2020-11-13,119.260002
236,2020-11-16,120.300003
237,2020-11-17,119.389999
238,2020-11-18,118.029999
239,2020-11-19,118.639999
240,2020-11-20,117.339996
241,2020-11-23,113.849998
242,2020-11-24,115.169998
243,2020-11-25,116.029999
244,2020-11-27,116.589996
245,2020-11-30,119.050003
246,2020-12-01,122.720001
247,2020-12-02,123.080002
248,2020-12-03,122.940002
249,2020-12-04,122.250000
250,2020-12-07,123.750000
251,2020-12-08,124.379997
252,2020-12-09,121.779999
253,2020-12-10,123.239998
254,2020-12-11,121.029999
