,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-09-14,114.72,115.93,112.8,115.355,115.156103705,140150087,0.0000,1.0,204.24,209.2,204.03,205.41,204.866484596,30375768,0.0000,1.0,3172.9372,3187.39,3096.0,3102.97,3102.97,4529596,0.0000,1.0,380.95,420.0,373.3,419.62,419.62,83020608,0.0000,1.0
2020-09-11,114.57,115.23,110.0,112.0,111.806888431,180860325,0.0000,1.0,207.2,208.63,201.24,204.03,203.49013608,33620073,0.0000,1.0,3208.69,3217.3409,3083.98,3116.22,3116.22,5093982,0.0000,1.0,381.94,382.5,360.5,372.72,372.72,60717459,0.0000,1.0
2020-09-10,120.36,120.5,112.5,113.49,113.294319357,182274391,0.0000,1.0,213.4,214.74,204.11,205.37,204.826590437,35461514,0.0000,1.0,3307.2188,3349.89,3170.55,3175.11,3175.11,5330741,0.0000,1.0,386.21,398.99,360.56,371.34,371.34,84930608,0.0000,1.0
2020-09-09,117.26,119.14,115.26,117.32,117.117715631,176940455,0.0000,1.0,207.6,214.8399,206.7,211.29,210.730926101,45678986,0.0000,1.0,3202.99,3303.175,3185.0,3268.61,3268.61,5188675,0.0000,1.0,356.6,369.0,341.51,366.28,366.28,79465769,0.0000,1.0
2020-09-08,113.95,118.99,112.68,112.82,112.625474578,231366563,0.0000,1.0,206.5,210.03,202.2,202.66,202.123761104,52924330,0.0000,1.0,3144.0,3250.845,3130.0,3149.84,3149.84,6094205,0.0000,1.0,356.0,368.74,329.88,330.21,330.21,115465691,0.0000,1.0
2020-09-04,120.07,123.7,110.89,120.96,120.751439505,332607163,0.0000,1.0,215.1,218.3599,205.19,214.25,213.683093933,59664072,0.0000,1.0,3318.0,3381.5,3111.13,3294.62,3294.62,8781754,0.0000,1.0,402.81,428.0,372.0201,418.32,418.32,110321885,0.0000,1.0
2020-09-03,126.91,128.84,120.5,120.88,120.671577442,257599640,0.0000,1.0,229.27,229.31,214.9602,217.3,216.725023625,58400288,0.0000,1.0,3485.0,3488.41,3303.0,3368.0,3368.0,8161113,0.0000,1.0,407.23,431.8,402.0,407.0,407.0,87596086,0.0000,1.0
2020-09-02,137.59,137.98,127.0,131.4,131.173438748,200118991,0.0000,1.0,227.97,232.86,227.35,231.65,231.037053487,34080839,0.0000,1.0,3547.0,3552.25,3486.685,3531.45,3531.45,3931476,0.0000,1.0,478.99,479.04,405.1206,447.37,447.37,96176128,0.0000,1.0
2020-09-01,132.76,134.8,130.53,134.18,133.948645443,152470142,0.0000,1.0,225.51,227.45,224.43,227.27,226.668642979,25791235,0.0000,1.0,3489.58,3513.87,3467.0,3499.12,3499.12,3476407,0.0000,1.0,502.14,502.49,470.51,475.05,475.05,90119419,0.0000,1.0
2020-08-31,127.58,131.0,126.0,129.04,128.817507885,223505733,0.0000,4.0,227.0,228.7,224.31,225.53,224.933247023,28774156,0.0000,1.0,3408.99,3495.0,3405.0,3450.96,3450.96,4185885,0.0000,1.0,444.61,500.14,440.11,498.32,498.32,115847020,0.0000,5.0
2020-08-28,504.05,505.77,498.31,499.23,124.592305606,46907479,0.0000,1.0,228.18,230.644,226.58,228.91,228.304303534,26292896,0.0000,1.0,3423.0,3433.3699,3386.5,3401.8,3401.8,2896978,0.0000,1.0,2295.12,2318.49,2186.52,2213.4,442.68,20081176,0.0000,1.0
2020-08-27,508.57,509.94,495.33,500.04,124.794456453,38888096,0.0000,1.0,222.89,231.15,219.4,226.58,225.98046872,57602195,0.0000,1.0,3450.05,3453.0,3378.0,3400.0,3400.0,4264795,0.0000,1.0,2180.46,2295.6,2142.5,2238.75,447.75,23693043,0.0000,1.0
2020-08-26,504.7165,507.97,500.33,506.09,126.304348585,40755567,0.0000,1.0,217.88,222.09,217.36,221.15,220.564836515,39600828,0.0000,1.0,3351.11,3451.7387,3344.5675,3441.85,3441.85,6508743,0.0000,1.0,2060.0,2166.0,2053.6291,2153.17,430.634,14239382,0.0000,1.0
2020-08-25,498.79,500.7172,492.21,499.3,124.609775432,52873947,0.0000,1.0,213.1,216.61,213.1,216.47,215.897219807,23043696,0.0000,1.0,3294.99,3357.4,3267.0,3346.49,3346.49,3992842,0.0000,1.0,1974.89,2027.95,1968.0,2023.34,404.668,10658893,0.0000,1.0
2020-08-24,514.79,515.14,495.745,503.43,125.640495185,86484442,0.0000,1.0,214.79,215.52,212.43,213.69,213.124575695,25460147,0.0000,1.0,3310.15,3380.315,3257.5608,3307.46,3307.46,4666258,0.0000,1.0,2126.275,2129.0,1927.52,2014.2,402.84,20063621,0.0000,1.0
2020-08-21,477.05,499.472,477.0,497.48,124.155559948,84513660,0.0000,1.0,213.86,216.25,212.85,213.02,212.456348516,36249319,0.0000,1.0,3295.0,3314.3962,3275.39,3284.72,3284.72,3575862,0.0000,1.0,2044.76,2095.49,2025.05,2049.98,409.996,21489559,0.0000,1.0
2020-08-20,463.0,473.568,462.9335,473.1,118.07106901,31726797,0.0000,1.0,209.54,215.0,208.91,214.58,214.012220752,26981478,0.0000,1.0,3252.0,3312.62,3238.0,3297.37,3297.37,3332478,0.0000,1.0,1860.68,2021.99,1857.06,2001.83,400.366,20611796,0.0000,1.0
2020-08-19,463.933,468.65,462.44,462.83,115.507995921,36384502,0.0000,1.0,211.49,212.1,209.25,209.7,209.145133245,27627561,0.5100,1.0,3303.01,3315.9,3256.0001,3260.48,3260.48,4185137,0.0000,1.0,1865.0,1911.0,1841.21,1878.53,375.706,12205331,0.0000,1.0
2020-08-18,457.41,464.0,456.03,462.25,115.363245931,26408385,0.0000,1.0,210.53,212.36,209.21,211.49,210.418649113,21336167,0.0000,1.0,3212.0,3320.0,3205.8187,3312.49,3312.49,5345974,0.0000,1.0,1898.99,1923.9,1845.11,1887.09,377.418,16474491,0.0000,1.0
2020-08-17,464.25,464.35,455.8501,458.43,114.409892552,29431414,0.0000,1.0,209.6,211.1874,208.915,210.28,209.214778644,20063496,0.0000,1.0,3173.12,3194.97,3154.1775,3182.41,3182.41,2675890,0.0000,1.0,1677.0,1845.86,1672.83,1835.64,367.128,20023104,0.0000,1.0
2020-08-14,459.315,460.0,452.18,459.63,114.709375289,41391302,0.0000,1.0,208.76,209.59,207.51,208.9,207.841769349,17958936,0.0000,1.0,3178.18,3178.2357,3120.0,3148.02,3148.02,2751723,0.0000,1.0,1664.99,1668.8,1626.64,1650.71,330.142,12577614,0.0000,1.0
2020-08-13,457.72,464.17,455.71,460.04,114.811698558,52520516,0.0000,1.0,209.44,211.35,208.15,208.7,207.642782495,22588870,0.0000,1.0,3182.99,3217.5211,3155.0,3161.02,3161.02,3149043,0.0000,1.0,1611.0,1651.18,1567.26,1621.0,324.2,20425308,0.0000,1.0
2020-08-12,441.99,453.1,441.19,452.04,112.815146978,41486205,0.0000,1.0,205.29,210.28,204.75,209.19,208.130300288,28041364,0.0000,1.0,3108.0,3174.385,3101.42,3162.24,3162.24,3527229,0.0000,1.0,1470.0,1585.0,1435.0,1554.76,310.952,21898834,0.0000,1.0
2020-08-11,447.875,449.93,436.4267,437.5,109.186414483,46975594,0.0000,1.0,207.155,207.65,203.14,203.38,202.34973217,36446459,0.0000,1.0,3113.2,3159.22,3073.0,3080.67,3080.67,3718057,0.0000,1.0,1396.0,1420.0,1365.0,1374.39,274.878,8625834,0.0000,1.0
2020-08-10,450.4,455.1,440.0,450.91,112.533134068,53100856,0.0000,1.0,211.67,211.88,206.35,208.25,207.195062073,36716462,0.0000,1.0,3170.31,3172.51,3101.52,3148.16,3148.16,3167274,0.0000,1.0,1448.0,1457.5,1385.84,1418.57,283.714,7522264,0.0000,1.0
2020-08-07,452.82,454.7,441.17,444.45,110.920918668,49511403,0.8200,1.0,214.85,215.7,210.93,212.48,211.403634042,27820421,0.0000,1.0,3224.01,3240.81,3140.6726,3167.46,3167.46,3936127,0.0000,1.0,1499.5365,1499.75,1415.01,1452.71,290.542,8896420,0.0000,1.0
